Ingredience,Produkt,ID,URL,IMG,Cena,Jednotková cena,Jednotka,Velikost balení,Jednotka balení,Kategorie,Podobnost,Původ kategorie,seznam_receptu,Vhodný produkt
hovězí maso pečeně,MASO! Hovězí loupaná plec,1409169,https://www.rohlik.cz/1409169-maso-hovezi-loupana-plec,https://cdn.rohlik.cz/images/grocery/products/1409169/1409169-1623237244375.jpg,251.94,419.9,kg,0.6,kg,Maso a ryby > Hovězí a telecí > Plec a kližka > Plec,0.773,True,svíčková,True
hořčice dijonská,Amora Dijonská hořčice ostrá,1438860,https://www.rohlik.cz/1438860-amora-dijonska-horcice-ostra,https://cdn.rohlik.cz/images/grocery/products/1438860/1438860-1678878382720.jpg,114.9,267.21,kg,430.0,g,"Trvanlivé > Kečupy, hořčice a omáčky > Hořčice > Francouzská a dijonská",0.764,True,dokonalý domácí hamburger,True
hořčice plnotučná,Alba Plnotučná hořčice,1462359,https://www.rohlik.cz/1462359-alba-plnotucna-horcice,https://cdn.rohlik.cz/images/grocery/products/1462359/1462359-1730885813299.jpg,15.9,39.75,kg,400.0,g,"Trvanlivé > Kečupy, hořčice a omáčky > Hořčice > Plnotučná",0.757,True,svíčková,True
jablečný ocet,Bzenecký Ocet kvasný jablečný 5%,1442411,https://www.rohlik.cz/1442411-bzenecky-ocet-kvasny-jablecny-5,https://cdn.rohlik.cz/images/grocery/products/1442411/1442411-1687989305049.jpg,47.9,95.8,l,500.0,ml,Trvanlivé > Oleje a octy > Octy,0.696,True,dokonalý domácí hamburger,True
játra kuřecí,Vaigl a Syn Kuřecí játra,1352367,https://www.rohlik.cz/1352367-vaigl-a-syn-kureci-jatra,https://cdn.rohlik.cz/images/grocery/products/1352367/1352367-1639507905861.jpg,48.5,97.0,kg,500.0,g,Mražené > Maso a drůbež > Drůbež,0.742,True,kuřecí vývar s játrovými knedlíčky,True
kakao,Country Life BIO Kakaový prášek,1362053,https://www.rohlik.cz/1362053-country-life-bio-kakaovy-prasek,https://cdn.rohlik.cz/images/grocery/products/1362053/1362053-1568912119.jpg,89.9,599.33,kg,150.0,g,Trvanlivé > Přísady na pečení > Kakao a čokoláda na vaření > Kakao,0.505,True,babiččina bábovka,True
kližka hovězí,Hovězí kližka,1385015,https://www.rohlik.cz/1385015-hovezi-klizka,https://cdn.rohlik.cz/images/grocery/products/1385015/1385015-1597756513.jpg,248.9,248.9,kg,1.0,kg,Maso a ryby > Hovězí a telecí > Plec a kližka > Kližka,0.984,True,hovězí guláš,True
klobása,Dacello Klobása 96 %,1412780,https://www.rohlik.cz/1412780-dacello-klobasa-96,https://cdn.rohlik.cz/images/grocery/products/1412780/1412780-1629809799743.jpg,79.9,228.29,kg,350.0,g,"Uzeniny a lahůdky > Párky, klobásy a špekáčky > Klobásy",0.634,True,valašská kyselica,True
kmín celý,Vitana Maxi Kmín celý český CHOP,1468298,https://www.rohlik.cz/1468298-vitana-maxi-kmin-cely-cesky-chop,https://cdn.rohlik.cz/images/grocery/products/1468298/1468298-1738088237512.jpg,29.9,299.0,kg,100.0,g,Trvanlivé > Koření a ochucovadla > Jednodruhové koření,0.558,True,"klasická česnečka, valašská kyselica",True
konzervovaná rajčata krájená,Kitchin Krájená loupaná rajčata v rajčatové šťávě,1440198,https://www.rohlik.cz/1440198-kitchin-krajena-loupana-rajcata-v-rajcatove-stave,https://cdn.rohlik.cz/images/grocery/products/1440198/1440198-1682085032160.jpg,24.9,62.25,kg,400.0,g,,0.684,no_category,dokonalý domácí hamburger,True
krupicový cukr,Kitchin Cukr krupice,1466509,https://www.rohlik.cz/1466509-kitchin-cukr-krupice,https://cdn.rohlik.cz/images/grocery/products/1466509/1466509-1731666232253.jpg,17.9,17.9,kg,1.0,kg,,0.754,no_category,"babiččina bábovka, svíčková",True
kuřecí prsa,Kuřecí prsa s kostí od českého výrobce,1425780,https://www.rohlik.cz/1425780-kureci-prsa-s-kosti-od-ceskeho-vyrobce,https://cdn.rohlik.cz/images/grocery/products/1425780/1425780-1664565908445.jpeg,177.9,177.9,kg,1.0,kg,Maso a ryby > Drůbež > Prsa a stehenní řízky > Prsa,0.684,True,kuřecí vývar s játrovými knedlíčky,True
"kuřecí vnitřnosti droby, křídla, odřezky",Světničkové kuře křídla,1353121,https://www.rohlik.cz/1353121-svetnickove-kure-kridla,https://cdn.rohlik.cz/images/grocery/products/1353121/1353121-1582104831.jpg,48.15,107.0,kg,450.0,g,Maso a ryby > Drůbež > Křídla a polévkové směsi > Křídla,0.69,True,kuřecí vývar s játrovými knedlíčky,True
kypřicí prášek do pečiva,Kávoviny Kypřicí prášek do pečiva,1353391,https://www.rohlik.cz/1353391-kavoviny-kyprici-prasek-do-peciva,https://cdn.rohlik.cz/images/grocery/products/1353391/1353391-1555402683.jpg,2.5,192.31,kg,13.0,g,Trvanlivé > Přísady na pečení > Kypřící prášky a droždí > Kypřící prášek,0.93,True,babiččina bábovka,True
majonéza,Agricol Poličanka majonéza,1335291,https://www.rohlik.cz/1335291-agricol-policanka-majoneza,https://cdn.rohlik.cz/images/grocery/products/1335291/1335291-1607026172197.jpg,32.9,131.6,kg,250.0,g,"Mléčné a chlazené > Majonézy, tatarské omáčky a dresingy > Majonézy",0.58,True,dokonalý domácí hamburger,True
majoránka drhnutá,Nadir Majoránka (Balení 5 ks),1441770,https://www.rohlik.cz/1441770-nadir-majoranka-baleni-5-ks,https://cdn.rohlik.cz/images/grocery/products/1441770/1441770-1686718512793.jpg,19.9,497.5,kg,40.0,g,Trvanlivé > Koření a ochucovadla > Jednodruhové koření,0.569,True,"babiččina sekaná, dršťková polévka, hovězí guláš, klasická česnečka, kuřecí vývar s játrovými knedlíčky",True
mleté maso mix,MASO! Mletý polotovar mix vepřové a hovězí,1409066,https://www.rohlik.cz/1409066-maso-mlety-polotovar-mix-veprove-a-hovezi,https://cdn.rohlik.cz/images/grocery/products/1409066/1409066-1619420425686.jpg,144.0,239.9,kg,0.6,kg,Maso a ryby > Hovězí a telecí > Mleté polotovary a burgery > Mleté polotovary,0.666,True,babiččina sekaná,True
mléko,"Miil Trvanlivé polotučné mléko 1,5%",1441840,https://www.rohlik.cz/1441840-miil-trvanlive-polotucne-mleko-1-5,https://cdn.rohlik.cz/images/grocery/products/1441840/1441840-1686756540649.jpg,21.9,21.9,l,1.0,l,Mléčné a chlazené > Mléko a mléčné nápoje > Trvanlivé,0.544,True,"babiččina bábovka, jednoduché palačinky, kuřecí vývar s játrovými knedlíčky, svíčková, valašská kyselica",True
mouka pšeničná hladká,Český Mlynář Mouka pšeničná hladká,1316775,https://www.rohlik.cz/1316775-cesky-mlynar-mouka-psenicna-hladka,https://cdn.rohlik.cz/images/grocery/products/1316775/1316775-1700467464887.jpg,12.9,12.9,kg,1.0,kg,"Trvanlivé > Přísady na pečení > Mouka, krupice a škrob > Hladká",0.789,True,"dršťková polévka, hovězí guláš, jednoduché palačinky, svíčková, valašská kyselica",True
mouka pšeničná hrubá,Český Mlynář Mouka pšeničná hrubá,1316769,https://www.rohlik.cz/1316769-cesky-mlynar-mouka-psenicna-hruba,https://cdn.rohlik.cz/images/grocery/products/1316769/1316769-1700467435474.jpg,12.9,12.9,kg,1.0,kg,"Trvanlivé > Přísady na pečení > Mouka, krupice a škrob > Hrubá",0.784,True,babiččina bábovka,True
moučkový cukr,Cukr moučka,1346981,https://www.rohlik.cz/1346981-cukr-moucka,https://cdn.rohlik.cz/images/grocery/products/1346981/1346981-1541752994.jpg,21.9,21.9,kg,1.0,kg,,0.843,no_category,babiččina bábovka,True
mrkev,"Mrkev čerstvá praná 1 ks, volná",1350467,https://www.rohlik.cz/1350467-mrkev-cerstva-prana-1-ks-volna,https://cdn.rohlik.cz/images/grocery/products/1325993/1325993-1542963378.jpg,4.46,27.9,kg,160.0,g,Ovoce a zelenina > Zelenina > Mrkev a kořenová zelenina > Mrkve,0.546,True,"kuřecí vývar s játrovými knedlíčky, svíčková",True
máslo,Miil Máslo 82%,1462148,https://www.rohlik.cz/1462148-miil-maslo-82,https://cdn.rohlik.cz/images/grocery/products/1462148/1462148-1722952177279.jpg,59.9,239.6,kg,250.0,g,"Mléčné a chlazené > Máslo, tuky a margaríny > Máslo",0.649,True,"babiččina bábovka, svíčková, valašská kyselica",True
nakládané okurky,Kitchin Okurky ve sladkokyselém kořeněném nálevu 6–9 cm,1457737,https://www.rohlik.cz/1457737-kitchin-okurky-ve-sladkokyselem-korenenem-nalevu-6-9-cm,https://cdn.rohlik.cz/images/grocery/products/1457737/1457737-1707905129730.jpg,34.9,99.71,kg,350.0,g,"Trvanlivé > Konzervy, hotovky a instantní pokrmy > Sterilovaná zelenina, luštěniny a houby > Okurky",0.487,True,dokonalý domácí hamburger,True
nové koření,Benkor Nové koření celé,1437075,https://www.rohlik.cz/1437075-benkor-nove-koreni-cele,https://cdn.rohlik.cz/images/grocery/products/1437075/1437075-1675212473036.jpg,27.9,930.0,kg,30.0,g,Trvanlivé > Koření a ochucovadla > Kořenící směsi,0.706,True,"kuřecí vývar s játrovými knedlíčky, svíčková, valašská kyselica",True
ocet kvasný,Alba Ocet kvasný lihový 8% PET,1333407,https://www.rohlik.cz/1333407-alba-ocet-kvasny-lihovy-8-pet,https://cdn.rohlik.cz/images/grocery/products/1333407/1333407-1682426986513.jpg,14.5,14.5,l,1.0,l,Trvanlivé > Oleje a octy > Octy,0.582,True,svíčková,True
olivový olej,Demetra Extra panenský olivový olej,1468575,https://www.rohlik.cz/1468575-demetra-extra-panensky-olivovy-olej,https://cdn.rohlik.cz/images/grocery/products/1468575/1468575-1738789322369.jpg,419.9,419.9,l,1.0,l,,0.68,no_category,"dokonalý domácí hamburger, hovězí guláš",True
paprika mletá sladká,Nadir Paprika sladká mletá (Balení 5 ks),1441765,https://www.rohlik.cz/1441765-nadir-paprika-sladka-mleta-baleni-5-ks,https://cdn.rohlik.cz/images/grocery/products/1441765/1441765-1686718122268.jpg,41.9,335.2,kg,125.0,g,Trvanlivé > Koření a ochucovadla > Jednodruhové koření,0.778,True,"dršťková polévka, hovězí guláš",True
